section,pass_rate_percent,passed,total_runs
AI DISCUSSION AND COMMENTARY,100.0,50,50
BUSINESS MODEL,100.0,50,50
COMPANY OVERVIEW,100.0,50,50
COMPETITORS,100.0,50,50
COUNTERFACTUAL ANALYSIS,100.0,50,50
DETAILED SUMMARY,100.0,50,50
ESG CONSIDERATIONS,100.0,50,50
FINANCIAL ANALYSIS,54.0,27,50
FOLLOW-UP QUESTIONS,100.0,50,50
INVESTMENT & EXIT STRATEGIES,100.0,50,50
MARKET SIZE & ANALYSIS,96.0,48,50
PROBLEM STATEMENT,100.0,50,50
PRODUCT/SERVICE DESCRIPTION,100.0,50,50
RISKS,100.0,50,50
SOLUTION OVERVIEW,100.0,50,50
TEAM & MANAGEMENT,92.0,46,50
TECHNICAL DUE DILIGENCE,100.0,50,50
